Scale,Neighbors,Runtime,Guessed,False Positive,Missed,Likely Accurate
1.1,3,98.3322403,6033,1577,10753,2679
1.2,3,62.0553128,3769,580,12020,2091
1.6,3,36.7023191,1301,71,13979,629
2,3,33.2947375,1458,60,13811,861
2.5,3,31.9632876,988,31,14252,561
3,3,31.3649046,665,9,14553,353
5,3,29.613915,315,0,14894,220
8,3,37.5110607,216,11,15004,159
1.1,1,92.8313236,15060,7703,7852,3394
1.1,2,90.9567571,8679,3117,9647,2981
1.1,3,89.6397651,6033,1577,10753,2679
1.1,4,89.4418545,4710,958,11457,2440
1.1,5,90.2494573,3883,624,11950,2262
1.1,6,97.5285665,3331,422,12300,2111
1.1,7,97.0177949,2892,285,12602,1961
1.1,8,100.6624557,2616,218,12811,1869
